Date,Open,High,Low,Close,Volume,Market Cap
"Dec 10, 2019","$ 7,397.13","$ 7,424.02","$ 7,246.04","$ 7,278.12","$ 18,24,90,31,195.00","$ 1,31,69,61,21,855.00"
"Dec 09, 2019","$ 7,561.80","$ 7,618.09","$ 7,365.99","$ 7,400.90","$ 17,87,20,21,272.00","$ 1,33,90,40,05,787.00"
"Dec 08, 2019","$ 7,551.34","$ 7,634.61","$ 7,476.09","$ 7,564.35","$ 15,40,99,08,086.00","$ 1,36,84,74,19,896.00"
"Dec 07, 2019","$ 7,547.27","$ 7,589.95","$ 7,525.71","$ 7,556.24","$ 15,45,35,20,564.00","$ 1,36,68,67,69,529.00"
"Dec 06, 2019","$ 7,450.56","$ 7,547.00","$ 7,392.18","$ 7,547.00","$ 18,10,44,66,307.00","$ 1,36,50,48,83,935.00"
"Dec 05, 2019","$ 7,253.24","$ 7,743.43","$ 7,232.68","$ 7,448.31","$ 18,81,60,85,231.00","$ 1,34,70,64,55,048.00"
"Dec 04, 2019","$ 7,320.13","$ 7,539.78","$ 7,170.92","$ 7,252.03","$ 21,66,42,40,918.00","$ 1,31,14,30,73,943.00"
"Dec 03, 2019","$ 7,323.98","$ 7,418.86","$ 7,229.36","$ 7,320.15","$ 14,79,74,85,769.00","$ 1,32,35,99,42,301.00"
"Dec 02, 2019","$ 7,424.04","$ 7,474.82","$ 7,233.40","$ 7,321.99","$ 17,08,20,40,706.00","$ 1,32,37,89,82,377.00"
"Dec 01, 2019","$ 7,571.62","$ 7,571.62","$ 7,291.34","$ 7,424.29","$ 18,72,07,08,479.00","$ 1,34,21,51,45,410.00"
"Nov 30, 2019","$ 7,764.06","$ 7,836.10","$ 7,515.85","$ 7,569.63","$ 17,15,81,94,786.00","$ 1,36,82,93,91,049.00"
"Nov 29, 2019","$ 7,466.73","$ 7,781.18","$ 7,460.76","$ 7,761.24","$ 19,70,96,95,456.00","$ 1,40,28,01,08,521.00"
"Nov 28, 2019","$ 7,536.82","$ 7,730.07","$ 7,454.12","$ 7,463.11","$ 19,05,01,16,751.00","$ 1,34,87,94,11,013.00"
"Nov 27, 2019","$ 7,220.88","$ 7,619.69","$ 6,974.17","$ 7,531.66","$ 23,99,14,12,764.00","$ 1,36,10,27,12,894.00"
"Nov 26, 2019","$ 7,145.16","$ 7,320.23","$ 7,098.57","$ 7,218.37","$ 21,12,95,05,542.00","$ 1,30,42,90,18,720.00"
"Nov 25, 2019","$ 7,039.98","$ 7,319.86","$ 6,617.17","$ 7,146.13","$ 42,68,52,31,262.00","$ 1,29,11,29,52,930.00"
"Nov 24, 2019","$ 7,398.63","$ 7,408.58","$ 7,029.29","$ 7,047.92","$ 30,43,35,17,289.00","$ 1,27,32,73,98,565.00"
"Nov 23, 2019","$ 7,296.16","$ 7,442.26","$ 7,151.42","$ 7,397.80","$ 21,00,89,24,418.00","$ 1,33,63,62,05,957.00"
"Nov 22, 2019","$ 7,643.57","$ 7,697.38","$ 6,936.71","$ 7,296.58","$ 34,24,23,15,785.00","$ 1,31,79,17,83,672.00"
"Nov 21, 2019","$ 8,023.64","$ 8,110.10","$ 7,597.38","$ 7,642.75","$ 22,51,42,43,371.00","$ 1,38,03,18,85,379.00"
"Nov 20, 2019","$ 8,203.61","$ 8,237.24","$ 8,010.51","$ 8,027.27","$ 20,76,43,00,437.00","$ 1,44,96,27,27,398.00"
